source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_bp_rp_excess_factor,x,y,z,labels,vt_alpha,vt_delta
3287041726938931968,66.32120578395853,8.06775084138208,28.8836215187672,0.019884134,146.642040384616,0.022609286,2.5568707724361635,0.01646672,,,13.417475,15.072522,12.181408,80901.55445566023,79.00404,12776.389434106317,54.11327,106315.14171679468,174.15771,1.472055,-30.526314,-3.5327628,-15.947592,0,24.067350812888893,0.4196416368869558
3295637159089219200,71.50755198684372,11.705550634967647,15.422908890377675,0.089148246,66.15789606761328,0.11288582,-8.127767187316753,0.06563102,,,5.3164186,5.403276,5.157512,1.4072761364331612E8,81214.43,9.421206464677846E7,78568.46,6.85730261007797E7,101139.68,1.1567388,-60.061024,-7.0075145,-23.401146,0,20.334656079727207,-2.4981953821697522
3392323607430380416,77.06455976539209,15.37721856585773,19.983851062608277,0.04032147,70.11461597686998,0.049121372,-23.648020809043466,0.035512306,,,15.231153,17.10051,13.938131,15222.495144236105,19.440678,1973.389760594667,14.423581,21081.699354038643,59.79172,1.5145408,-48.085888,-5.669243,-12.635236,0,16.632242734616227,-5.609666640961397
3400512529517577728,80.97090062511454,17.84618753828661,5.122268280182222,0.017585725,15.60767121374619,0.020725401,-11.59838976419829,0.013940415,,,13.79141,14.548639,12.944321,57330.0583980445,11.129088,20699.56426343214,19.449554,52653.82354492521,41.439384,1.2794926,-190.84952,-22.537733,-34.376007,-1,14.444324145994129,-10.733882014256587
3393943802238283904,78.84529145636274,16.388468415539915,7.912173395996113,0.118175805,28.400699551735467,0.15819733,-13.950652552852825,0.108923644,,,17.68694,19.692995,16.367662,1585.5181064081498,2.015426,181.22524368599713,8.087525,2249.5393390171407,12.194432,1.5331043,-122.446495,-14.689845,-27.656292,-1,17.01589042935092,-8.35834254099501
3294081521934473216,71.10806668662119,11.146072203663218,22.474309444517445,0.08267633,98.87421870737057,0.100440845,-13.970012717493287,0.07034153,,,5.326206,5.456333,5.0956044,1.3946469752485737E8,86151.31,8.971883112997901E7,75249.484,7.259662581481797E7,102957.63,1.1638461,-41.014008,-4.963961,-16.523844,0,20.85538193120133,-2.946672596921806
3391728565481255040,75.40054017298937,13.932912617444115,23.443390724705274,0.016346633,86.15257835881643,0.01858918,-22.010902677077134,0.014325893,43.564846,0.42697632,10.743304,11.5863905,9.844588,949784.4377751247,324.93207,316855.190875478,371.75494,914792.8745798515,668.7518,1.2967659,-40.53562,-4.9932294,-12.306937,0,17.420848050075925,-4.450808069670847
3287167277423046272,67.03374474598286,7.9457726573411325,19.89125758728529,0.02173974,98.93009133895414,0.023624413,1.1125588170822833,0.01735654,,,13.74676,15.253352,12.552079,59736.89939747604,42.653942,10816.229347810104,43.578815,75566.02381780923,112.15432,1.4460452,-44.470425,-5.6021256,-22.768543,0,23.576949200104,0.2651442281863974
3392215133736661760,77.17165637255734,14.744300896250866,15.416029310998576,0.058471005,52.64075055972189,0.062601894,-16.843089247023542,0.048216168,,,16.281662,18.196848,14.973222,5784.717946449,4.9622607,718.9156818721551,18.623468,8125.866310455725,13.898377,1.5289911,-62.17646,-7.9941635,-16.672722,0,16.187172119873253,-5.17929516150495
3391712038447198080,75.78221049104314,13.73058997408925,18.562013026555217,0.020328179,66.30418693459872,0.024009565,-18.042637772662065,0.017331678,42.37107,0.34062493,8.791766,9.165581,8.249125,5731128.934449947,2498.7,2945674.527665956,4120.4307,3976566.1368119153,4323.959,1.207832,-51.202484,-6.6636543,-15.370484,0,16.93313301256006,-4.607829451302752
3391658329880811776,75.70190506914992,13.632639626291082,18.152235638660027,0.0515915,66.22537806008174,0.06001908,-17.09799452900979,0.045885693,,,16.16491,18.249275,14.827374,6441.440226866623,6.243931,685.0254598638409,7.373239,9294.120204692304,22.239204,1.5492103,-52.32109,-6.845183,-15.827657,0,17.29480878674851,-4.465154517469455
3394229473399116160,81.23842113743314,17.08240632585785,6.430354087386251,0.015278518,18.21693333840114,0.018103566,-14.711280320613788,0.012485304,41.45138,1.5083629,13.263574,14.019946,12.418431,93221.75053869838,22.301126,33685.13595156207,39.816437,85464.50010939753,48.642876,1.2781312,-151.66757,-20.041811,-27.917519,-1,13.429561124613794,-10.84518643269904
3293856362569126400,70.71766818384738,9.996389185577454,17.034055828543803,0.026490446,74.29159959682823,0.035718057,-6.370343716637346,0.021762086,,,14.34482,15.8890915,13.1393795,34436.49327084416,24.492332,6022.547221946424,26.426039,43995.32805940908,65.31353,1.4524672,-53.642937,-7.2294374,-22.727869,0,20.674884032449654,-1.772826514748303
3397251584187033856,82.05431224695558,17.310447063381726,8.446470187921854,0.01606508,23.287301074792218,0.017616933,-15.459132066931371,0.012893317,,,12.015427,12.584381,11.301296,294290.3588861823,111.216034,126375.99174592481,167.19902,239133.1559459138,199.71294,1.2420018,-115.678764,-15.761819,-19.667444,0,13.069691715575857,-8.676234727942544
3391904178104504704,77.21496000954406,14.25305009082197,25.708499629261546,0.10618726,87.83578607231095,0.12098039,-27.80627611859637,0.081604764,,,16.864536,19.577105,15.4346895,3381.6754907166733,4.1403246,201.63924240804542,6.2620583,5312.298617380767,15.448105,1.6305343,-37.203835,-5.078459,-10.154334,0,16.196314446238365,-5.127285947267054
3397764742583616768,83.45565571798348,18.114244166438226,6.192711037604596,0.020812169,15.854258874385264,0.019733017,-14.791350416704585,0.0126245,46.627434,1.1556815,11.916122,12.386644,11.283808,322476.33441045985,115.336815,151620.97331853272,148.89352,243016.11464279576,161.2864,1.2237707,-158.4304,-21.680079,-22.486135,-1,12.136307418766956,-11.322659559057692
